index,key,time_ns,steps
297,67137,2916,51
298,354509,1583,31
299,22057,1584,35
300,616887,958,18
301,580829,1625,26
302,241293,1041,20
303,617025,958,18
304,230915,833,18
305,7541,959,22
306,74442,792,19
307,742226,1666,30
308,661760,916,18
309,61734,833,19
310,240063,1042,23
311,70675,959,18
312,949402,1583,27
313,32939,791,20
314,901394,1875,32
315,346480,875,19
316,74300,1167,24
317,539132,1959,34
318,249566,4041,58
319,292005,958,16
320,701475,1208,22
321,508994,1042,20
322,224644,917,19
323,565428,875,15
324,138740,1167,22
325,758491,1083,20
326,980958,1125,18
327,925246,917,16
328,598783,1750,28
329,604202,875,18
330,495632,1083,23
331,254802,1042,20
332,822734,875,16
333,495949,1041,23
334,846722,834,14
335,426834,1000,18
336,199660,1209,21
337,98908,1167,21
338,101640,1958,29
339,690994,2208,39
340,451990,1750,33
341,371508,1000,16
342,444155,916,19
343,431072,1041,19
344,489711,1666,28
345,905799,875,17
346,764492,2834,41
347,56803,1000,19
348,706074,875,17
349,685198,1166,19
350,677569,2083,38
351,103199,958,19
352,63557,2959,47
353,422180,1125,22
354,763588,875,19
355,355785,1166,25
356,839483,916,14
357,903530,916,15
358,114577,958,16
359,260736,917,19
360,200897,1084,21
361,199449,1833,33
362,562337,1167,22
363,470406,875,17
364,146992,875,17
365,442375,3583,46
366,192402,875,18
367,292076,1125,19
368,485101,875,18
369,261942,917,19
370,916965,1125,22
371,968115,917,14
372,79047,1208,20
373,464657,750,19
374,847273,1833,27
375,903190,1125,20
376,897547,2750,41
377,577058,875,14
378,102665,1125,24
379,53046,1083,19
380,683824,959,19
381,566848,1125,23
382,876639,875,18
383,15475,1791,36
384,97794,1791,34
385,971367,1708,26
386,790171,916,17
387,889922,1041,17
388,247862,875,18
389,174390,1083,19
390,426157,1167,20
391,509232,917,14
392,504741,875,18
393,224131,1875,34
394,906652,1125,21
395,420522,1708,33
396,946280,958,14
397,61484,875,21
398,172635,2041,36
399,397383,875,16
400,2261,1166,26
401,409387,1083,21
402,278086,875,14
403,971525,875,16
404,822158,1041,23
405,823268,1083,21
406,477111,917,18
407,299106,1125,19
408,443556,834,17
409,730430,958,15
410,765991,917,17
411,821415,2125,38
412,582766,875,13
413,694023,916,14
414,753306,916,19
