index,key,time_ns,steps,deleted
265,812234,1500,25,1
266,290422,1250,24,1
267,612025,1083,19,1
268,145118,1500,25,1
269,142240,1583,25,1
270,753505,1542,27,1
271,233366,1375,22,1
272,886393,1583,24,1
273,468128,1084,19,1
274,151669,1291,24,1
275,501609,1333,23,1
276,221687,1375,26,1
277,140601,1416,23,1
278,382555,1375,27,1
279,173149,1333,26,1
280,586073,1417,23,1
281,550745,1417,23,1
282,222653,1209,24,1
283,388029,4500,32,1
284,719623,1625,24,1
285,982106,1333,21,1
286,370775,1333,24,1
287,55709,1375,29,1
288,94579,1500,26,1
289,365510,1291,26,1
290,676857,4166,29,1
291,105429,1417,24,1
292,231943,1375,25,1
293,638585,1208,23,1
294,487468,1459,26,1
295,137003,1417,25,1
296,43803,1666,27,1
297,187556,1416,28,1
298,424534,1333,24,1
299,602728,1500,24,1
300,980270,1209,21,1
301,880691,1583,25,1
302,82290,1750,27,1
303,561895,1292,20,1
304,855130,1958,29,1
305,282147,1459,25,1
306,745958,1166,18,1
307,407778,1416,26,1
308,696102,1416,25,1
309,84217,1292,25,1
310,154722,1291,25,1
311,72519,1250,24,1
312,187655,1292,27,1
313,809653,1334,24,1
314,635054,1333,28,1
315,761412,1416,27,1
316,922041,1333,20,1
317,682142,1459,24,1
318,551641,1375,26,1
319,960425,1375,22,1
320,926686,1334,18,1
321,721591,1333,25,1
322,154000,1250,24,1
323,430817,1542,29,1
324,816450,1334,25,1
325,881640,1458,24,1
326,975671,1417,22,1
327,678160,1292,23,1
328,662056,1458,25,1
329,68459,1375,28,1
330,415713,1166,20,1
331,351285,1333,26,1
332,456113,1292,24,1
333,498425,1500,25,1
334,526429,1375,26,1
335,120295,3166,30,1
336,233239,1375,22,1
337,387346,2958,34,1
338,741522,1292,21,1
339,475302,1541,25,1
340,169079,1583,27,1
341,84003,1417,27,1
342,434131,1625,30,1
343,545584,1458,26,1
344,380806,1250,23,1
345,451575,1417,26,1
346,692985,1542,26,1
347,880153,1250,23,1
348,747252,1375,23,1
349,74269,1667,29,1
350,732698,1333,23,1
351,593831,1792,26,1
352,734734,1542,26,1
353,691445,1291,22,1
354,66614,1375,26,1
355,803062,1375,25,1
356,917694,1291,24,1
357,51041,1208,25,1
358,474515,1375,26,1
359,54582,1291,25,1
360,937657,1416,24,1
361,281881,1666,28,1
362,154888,1250,23,1
363,661287,1333,24,1
364,924999,1375,22,1
365,843059,1583,28,1
366,397701,1458,26,1
367,260298,1250,22,1
368,919810,3041,33,1
369,151158,1250,23,1
370,688458,1375,24,1
371,665906,1542,26,1
372,862284,1292,24,1
373,608159,1583,28,1
374,888457,2625,33,1
375,527787,1209,23,1
376,894218,1416,24,1
377,895297,1208,19,1
378,207964,1209,23,1
379,721467,1625,28,1
380,170388,1458,26,1
381,31245,1625,27,1
382,333633,1417,25,1
383,731515,1375,23,1
384,315760,1458,26,1
385,820348,1375,27,1
386,236829,1250,23,1
387,914337,1334,24,1
388,475780,1541,25,1
389,11902,1375,26,1
390,768171,1500,24,1
391,579721,1833,28,1
392,719051,1334,23,1
393,103199,1291,25,1
394,777748,1125,20,1
395,996910,1291,19,1
396,692819,2417,35,1
397,600539,2584,30,1
398,260323,1667,25,1
399,634566,1375,21,1
400,71745,1333,21,1
401,259580,2584,33,1
402,785409,1541,23,1
403,976843,1625,24,1
404,443482,1375,25,1
405,816965,1708,27,1
406,81722,1333,25,1
407,984559,1250,16,1
408,965102,1500,25,1
409,500642,1458,25,1
410,643685,1709,29,1
411,443941,1208,24,1
412,771712,1333,25,1
413,85132,1500,26,1
414,556380,1416,27,1
415,955859,1375,24,1
416,342028,1750,29,1
417,180223,1416,27,1
418,224644,1416,23,1
419,382365,1333,27,1
420,906229,1667,25,1
421,669321,1375,25,1
422,791788,1583,25,1
423,603081,1625,23,1
424,309478,1417,26,1
425,971525,1375,22,1
426,321385,1375,24,1
427,918965,1250,21,1
428,762428,1375,25,1
429,71604,2833,35,1
430,823482,1834,28,1
431,599705,1500,26,1
432,981847,1208,19,1
433,287637,2666,35,1
434,298769,1666,26,1
435,292076,1334,22,1
436,496250,1416,24,1
437,46785,1541,30,1
438,912118,1333,23,1
439,155399,1584,25,1
440,741536,1500,21,1
441,561148,1416,25,1
442,821968,1416,26,1
443,405117,1417,26,1
444,799050,2042,25,1
445,36333,1375,25,1
446,577237,1208,23,1
447,251998,1375,26,1
448,649254,1459,26,1
449,19928,1500,29,1
450,945054,1334,23,1
451,456527,1416,24,1
452,525601,1541,26,1
453,330927,1541,23,1
454,431229,1583,29,1
455,368075,1500,25,1
456,92319,1333,26,1
457,344296,1292,26,1
458,683502,1250,22,1
459,452826,1209,25,1
460,316062,1208,23,1
461,648053,1291,22,1
462,721979,1459,27,1
463,733600,1291,23,1
464,788796,2250,32,1
465,286605,1250,24,1
466,337743,1459,22,1
467,911528,1291,21,1
468,372788,1625,28,1
469,41159,1375,25,1
470,486769,1166,23,1
471,30217,1459,26,1
472,293805,1250,24,1
473,200052,1333,27,1
474,687238,1375,25,1
475,340132,1375,20,1
476,565611,1625,27,1
477,342708,1334,24,1
478,417569,1291,25,1
479,632790,1417,27,1
480,499285,1459,27,1
481,172656,1416,27,1
482,57175,1458,29,1
483,156558,1209,22,1
484,919036,1250,23,1
485,41338,1375,25,1
486,434604,1291,26,1
487,718710,1250,23,1
488,946661,1041,18,1
489,155876,1209,23,1
490,466340,1333,24,1
491,33797,1417,25,1
492,689276,1209,23,1
493,859223,1250,22,1
494,66858,1125,24,1
495,33959,1500,26,1
496,819489,834,14,1
497,850361,1333,24,1
498,180909,1375,28,1
499,192989,1625,26,1
500,136307,1250,24,1
501,46178,1375,24,1
502,478939,1375,25,1
503,159339,1125,21,1
504,550608,1334,23,1
505,901260,1500,25,1
506,919332,1250,22,1
507,653899,1375,25,1
508,694126,1042,20,1
509,642040,1125,24,1
510,83668,1333,26,1
511,476783,1500,25,1
512,811160,1291,25,1
513,793989,1291,27,1
514,503705,1375,25,1
515,923783,1333,22,1
516,23006,1375,25,1
517,842961,1125,25,1
518,299900,1209,23,1
519,784057,1250,24,1
520,323257,1375,27,1
521,300851,1166,24,1
522,164736,1333,26,1
523,668481,1292,24,1
524,655699,1334,24,1
525,435811,1375,25,1
526,719401,1125,20,1
527,719797,1208,24,1
528,576711,1333,23,1
529,470989,1084,25,1
530,978347,1000,14,1
531,261737,1583,23,1
532,637087,1084,24,1
533,605398,1375,24,1
534,639099,1042,23,1
535,301602,1250,25,1
536,967243,1041,17,1
537,28277,1334,27,1
538,507754,1458,24,1
539,991341,1583,19,1
